case,direction,maximum_mixed_ratio,num_nodes,receiver_absolute_error,receiver_mixed_ratio,receiver_relative_error,rhs_absolute_error,rhs_mixed_ratio,rhs_relative_error,same_near_direct_branch,scattered_absolute_error,scattered_mixed_ratio,scattered_objective_absolute_error,scattered_objective_mixed_ratio,scattered_relative_error,solution_absolute_error,solution_mixed_ratio,solution_relative_error,step,system_absolute_error,system_mixed_ratio,system_relative_error,total_absolute_error,total_mixed_ratio,total_objective_absolute_error,total_objective_mixed_ratio,total_relative_error
circle,scale,21.991369600469422,32,1.8440384458128912e-06,0.5107687243051844,1.0216199042565103e-05,1.121472403045616e-10,0.4143363750238116,8.287432958697726e-06,True,2.84430088032946e-13,0.7228015215890482,2.999532058457462e-06,21.991369600469422,1.4457712042284573e-05,1.4272391091500796e-10,0.7578819355086246,1.5159215427306551e-05,0.01,0.004613851706482088,1.5697255816520987,3.1395889235201505e-05,2.8443008799292066e-13,0.7222733198091541,6.096602349539825e-08,0.6031111063350176,1.4457712040250067e-05
circle,scale,0.2199131100565619,32,1.8440431333204914e-08,0.005107700969985889,1.021622501193183e-07,1.1214722383899047e-12,0.004143363144251041,8.287431741928446e-08,True,2.8443400794594125e-15,0.007228116592213959,2.999524066366749e-08,0.2199131100565619,1.4457911293262936e-07,1.4272545962419283e-12,0.007578901131099829,1.515937992123064e-07,0.001,4.6138948261252104e-05,0.01569740377640302,3.1396182651554146e-07,2.8443398366982677e-15,0.007222831998442533,6.096584227784237e-10,0.006031093136263194,1.4457910059296884e-07
circle,scale,0.0022049885419056607,32,1.829778758338428e-10,5.068191034122725e-05,1.0137198625922667e-09,1.1133291361218588e-14,4.1132778435173944e-05,8.227256017640467e-10,True,2.812765524519071e-17,7.147878624053966e-05,3.007513374626847e-10,0.0022049885419056607,1.4297416379961824e-09,1.429759104523353e-14,7.59220033795064e-05,1.5185981196612032e-09,0.0001,4.603638708940097e-07,0.0001566251051611224,3.1326392823095926e-09,2.8135679036739847e-17,7.144690654569132e-05,6.1170901989051306e-12,6.051378826915348e-05,1.4301494910067657e-09
circle,scale,3.187693084433378e-05,32,4.902931782380366e-11,1.3580327579658485e-05,2.7162843103759624e-10,4.0463128025655275e-15,1.4949405579021838e-05,2.990135645791557e-10,True,1.2393009286669511e-17,3.1493462790157065e-05,3.9509925279374025e-12,2.8967097292918177e-05,6.299423554067608e-10,4.3342507309628225e-15,2.3015415492058357e-05,4.6035622290194203e-10,1e-05,2.636950479597715e-08,8.971439172688127e-06,1.7943664088693824e-10,1.2553085058933943e-17,3.187693084433378e-05,1.102459323918531e-13,1.0906164194685392e-06,6.380790804499897e-10
circle,scale,0.0002934958985613185,32,4.944637316945941e-10,0.00013695845163054713,2.7393896877755464e-09,3.819276510847607e-14,0.0001411060300205249,2.8223608488644246e-09,True,1.1503798502635718e-16,0.00029233775412906376,1.1144674159219159e-11,8.170829440583724e-05,5.847433627496776e-09,4.680353027014944e-14,0.00024853262131356444,4.9711698171315415e-09,1e-06,2.2261152190827347e-07,7.573694476069376e-05,1.5148052275916644e-09,1.155782216657885e-16,0.0002934958985613185,1.966432997880553e-13,1.9453090637852476e-06,5.874894104064517e-09
circle,shape_mode4,1.7753079321200664,32,3.1105918597250377e-07,0.14294054452834418,2.859192979248422e-06,4.3247458331474044e-11,0.3150869963331589,6.302797549973193e-06,True,2.096381118213542e-14,0.23100335153822524,1.877767784710981e-07,1.7753079321200664,4.6223926533364215e-06,4.5101766326166753e-11,0.33452189159861606,6.691409543513087e-06,0.01,0.00042015084114362843,0.46781539145049883,9.35764888130958e-06,2.0963811399113637e-14,0.23027285059745564,4.458340823616498e-09,0.044545215744936154,4.6223927011787965e-06
circle,shape_mode4,0.01775357820326156,32,3.1105969183475888e-09,0.0014294077709445204,2.8591976290317222e-08,4.3247506836680547e-13,0.003150873326495434,6.302804619024381e-08,True,2.0962104344969458e-16,0.0023098453277455894,1.8778205521574262e-09,0.01775357820326156,4.622016306139443e-08,4.51024923166494e-13,0.0033452722930178403,6.691517253255738e-08,0.001,4.20151950570659e-06,0.004678166269154301,9.35767359059871e-08,2.0961964459250057e-16,0.002302525591373628,4.458411523538923e-11,0.000445459221385077,4.621985462190504e-08
circle,shape_mode4,0.0001787101689657922,32,3.12613104622466e-11,1.4365461446230582e-05,2.873476284467024e-10,4.292808307230121e-15,3.1276011282661705e-05,6.256252442383098e-10,True,2.255849687598497e-18,2.485754173525527e-05,1.8902422053816703e-11,0.0001787101689657922,4.974011133945156e-10,4.419256524291495e-15,3.2777825435704456e-05,6.556518223260871e-10,0.0001,4.1992014304657734e-08,4.675585216915541e-05,9.352510746196214e-10,2.2427698597297444e-18,2.4635262589401477e-05,4.4692919612572546e-13,4.465463330814171e-06,4.945170910322579e-10
circle,shape_mode4,0.00014280877630293257,32,4.183654939085686e-11,1.922508456719954e-05,3.845530808561029e-10,3.306826466235814e-15,2.4092466844503216e-05,4.819302348320735e-10,True,1.2960056026226934e-17,0.00014280877630293257,3.3383354674371146e-13,3.1561801643812178e-06,2.8576134006353705e-09,5.208919529777576e-15,3.863479159384657e-05,7.72808177863391e-10,1e-05,2.130535487038057e-08,2.3722368150852303e-05,4.745153660196207e-10,1.2976911489042815e-17,0.00014254232135698278,4.115848287189472e-15,4.112322435178002e-08,2.86132992750216e-09
circle,shape_mode4,0.0018162682916145288,32,4.528730198515101e-10,0.0002081080354765525,4.1627169916304225e-09,3.2890546589183804e-14,0.00023962987209805698,4.7934020739600105e-09,True,1.648283769981787e-16,0.0018162682916145288,1.1554443274559845e-11,0.00010923978440558178,3.634365298744016e-08,5.980167537334319e-14,0.00044355172919823525,8.872324387861064e-09,1e-06,2.0966067658885164e-07,0.000233445900669416,4.669587213953933e-09,1.6427948854361172e-16,0.0018044955972537555,3.1912740137106377e-13,3.1885402006263667e-06,3.6222626427057196e-08
