best_same_branch_fd_mixed_ratio,case,direction,discrete_gate_passed,fd_observed_orders,maximum_adjoint_jvp_absolute_difference,num_nodes,relative_physical_jvp_norm,same_branch_fd_step_count,scattered_objective_jvp,seconds,total_objective_jvp
41105.10426162474,zero_contrast,translation_x,False,"[-0.9489152360728276, -1.0598483493667141, -0.9288995684551842, -1.1413296932408172]",1.7719531922252868e-15,32,4.203692156684734e-15,5,-1.8950569453648028e-14,0.12029883544892073,-2.7117085661775756e-19
51601.65342546222,zero_contrast,translation_y,False,"[-0.9521299248060027, -0.9842877928144984, -0.8366119800358859, -1.1537218044748767]",1.4560530347879435e-15,32,1.5011223729367156e-15,5,5.241521385237609e-16,0.11892939358949661,3.0335818735492743e-21
44712.73160513797,zero_contrast,scale,False,"[-1.0344442069982902, -0.9706640851260856, -1.1271179352749692, -0.9006580853408205]",4.367148152329199e-15,32,2.052884607553983e-15,5,8.69701794836731e-15,0.11874288599938154,1.351038246455177e-19
45894.32958546183,zero_contrast,shape_mode4,False,"[-0.9484785997390001, -0.9902384255701443, -0.878756438798196, -1.0747296633287202]",4.253951011559055e-16,32,1.6686084155553423e-13,5,-1.4677335326631511e-12,0.118586715310812,-2.1978247621526084e-17
8.196020299167533e-06,zero_contrast,interior_epsr,True,"[2.0000000579741517, 1.9952590968017465, 1.0170046922302012, -1.335941163055391]",3.552713678800501e-15,32,0.8481756934006708,5,-10.66196822604455,0.20430929400026798,-0.00012557025461763246
7.759780849102028e-05,zero_contrast,exterior_epsr,True,"[1.9999561743999654, 1.999883357405281, 1.9757558343649193, -0.5810791259238257]",8.881784197001252e-15,32,0.8481756934006761,5,10.66196822604457,0.20689552929252386,-0.0003771228731132625
3.7017503536154885e-05,zero_contrast,mixed,True,"[2.0000034465682184, 1.9974268426948982, 0.4091452920517009, -0.9735262525113965]",1.7763568394002505e-15,32,0.7633581240606004,5,9.595771403439356,0.20383442100137472,1.2474603609679137e-05
62115.75141818355,zero_contrast,tangential_phase,False,"[-0.9313085338334305, -0.9699708264251633, -1.1027426890293384, -0.9489403264198621]",5.480921325763516e-15,32,6.907647580213132e-15,5,-5.6162541124517517e-14,0.11928222980350256,-8.320810217811945e-19
34119.780407264545,zero_contrast,translation_x,False,"[-1.0666065769721493, -0.9130398860322592, -1.0652008436939004, -1.0716841986619312]",8.387626911833637e-16,64,2.170329877835432e-15,5,-1.5824621101806858e-14,0.3370399558916688,-2.0482788380282515e-19
35066.61658102177,zero_contrast,translation_y,False,"[-0.9199150867351835, -1.0636324794751955, -0.865609716227362, -1.0168812175910282]",1.0531457179076136e-15,64,1.0201257353635695e-15,5,8.72661660832828e-15,0.3362421775236726,1.5401780573932853e-19
37338.80920863833,zero_contrast,scale,False,"[-1.0799770038725558, -0.9034251121816577, -1.1844313519806227, -0.8314632513024857]",9.566569632864361e-16,64,1.1543078719627451e-15,5,-8.702283350952426e-15,0.3366178860887885,-1.1614020173371227e-19
37702.5894627181,zero_contrast,shape_mode4,False,"[-1.0524886263275643, -1.1276703165025204, -0.7986385878493619, -1.1561061697526551]",4.987908197043943e-15,64,1.82516538827265e-15,5,-2.630419026984695e-14,0.33661804627627134,-3.9035270815024394e-19
5.855142373351216e-06,zero_contrast,interior_epsr,True,"[2.000000043990401, 1.995606972308504, 0.8812795024696312, -1.3034667122794115]",1.7763568394002505e-15,64,0.8481756934008973,5,-10.6619682260388,0.6091354358941317,-0.00012557025461754613
7.767524037218096e-05,zero_contrast,exterior_epsr,True,"[1.9999562125386028, 1.999879200566068, 1.958950841870733, -0.5191430496762838]",1.5987211554602254e-14,64,0.8481756934008985,5,10.661968226038745,0.6104007791727781,-0.00037712287311315147
4.254458544560211e-05,zero_contrast,mixed,True,"[2.0000013311687295, 1.997320175521811, 0.6104748300841357, -1.0843156539748904]",1.7763568394002505e-15,64,0.7633581240608076,5,9.59577140343488,0.6087225833907723,1.2474603609651575e-05
39640.48534869584,zero_contrast,tangential_phase,False,"[-1.1601474869274753, -0.8625348644194542, -1.1017428950005816, -0.9079066242779079]",7.966922547190349e-16,64,3.2253377278832784e-15,5,1.8038236352036377e-15,0.3373573813587427,7.5796570836798e-20
26340.370906550266,zero_contrast,translation_x,False,"[-1.0967870417959347, -1.0467661793661986, -0.9651229021046805, -1.0446776043979296]",6.653048008196532e-16,128,1.4081159398934078e-15,5,-1.208238006668943e-14,1.1354620959609747,-2.015238721707174e-19
32202.436712924882,zero_contrast,translation_y,False,"[-0.9206778225051615, -1.0957325773524693, -0.9099528839103185, -1.020478725492182]",1.8664620210329372e-15,128,9.36806192509637e-16,5,3.926751120716911e-15,1.1428853962570429,6.304067753932113e-20
34471.68774880643,zero_contrast,scale,False,"[-1.0530422792152123, -0.886960944450268, -1.1292747118308128, -0.9043269467937767]",4.7209627327069995e-15,128,1.5625012629712064e-15,5,-1.2376471846520411e-14,1.133958618156612,-2.4897381429041035e-19
31940.450213294298,zero_contrast,shape_mode4,False,"[-1.0678568006845781, -1.0948260705754367, -0.7717341053184726, -1.1736067754661346]",3.774913204081295e-15,128,1.2725681939773622e-15,5,-1.398865518992121e-14,1.1316724689677358,-2.0479023699613895e-19
7.3383030319786096e-06,zero_contrast,interior_epsr,True,"[2.0000003061744005, 1.994560477843315, 0.7695209721714623, -1.1840129973887148]",1.7763568394002505e-15,128,0.8481756934008973,5,-10.661968226038994,2.1304118456318974,-0.0001255702546175481
7.750682842504608e-05,zero_contrast,exterior_epsr,True,"[1.9999562278765308, 1.9998750427835312, 1.9668475972359265, -0.5413113275273941]",1.7763568394002505e-15,128,0.8481756934008978,5,10.66196822603899,2.1296405429020524,-0.0003771228731130517
4.288005027495389e-05,zero_contrast,mixed,True,"[2.000002063792361, 1.997799565679403, 0.6313089881950517, -0.9846870687296543]",1.7763568394002505e-15,128,0.7633581240608073,5,9.595771403435089,2.1313211796805263,1.2474603609673223e-05
34075.48881712885,zero_contrast,tangential_phase,False,"[-1.045080804001745, -0.9830482525115467, -1.0587706421376581, -0.8296560344109328]",9.310125124332184e-15,128,3.351698672190708e-15,5,-2.4012218797274373e-14,1.1322404583916068,-3.2073004879667306e-19
