curve,cutoff,cutoff_converged,field_error,gradient_error,gradient_step_consistency,grid,halfband,halfwidth,kd,knee_0.001,knee_0.1,knee_1e-06,ko,matrix_error,max_mode,nonzeros,order,r2_K,r2_Kp,r2_T,r2_V,rate_K,rate_Kp,rate_T,rate_V,rate_envelope,retained,trace_error
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,46,3.5,10.0,1,1,1,10.0,2.404524754562175e-16,1,9580,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9975010412328197,4.326748147249538e-27
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,47,3.5,10.0,1,1,1,10.0,1.196332045689163e-16,1,9596,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9991670137442732,1.46852927917921e-27
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,48,3.5,10.0,1,1,1,10.0,0.0,1,9604,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0
circle,54,7.37181566688145e-16,2.407941106018415e-15,5.135084605537966,3.673053287700986e-07,512,0,3.5,30.0,1,1,1,30.0,6.521160999786383e-15,1,436,109,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.009174311926605505,4.467869342548913e-15
circle,54,7.37181566688145e-16,2.147933804759041e-15,4.027195966519607,3.673053287700986e-07,512,1,3.5,30.0,1,1,1,30.0,6.4694104401989786e-15,1,1300,109,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0273545997811632,4.329512396645525e-15
circle,54,7.37181566688145e-16,2.046963682115543e-15,2.591760871303311,3.673053287700986e-07,512,2,3.5,30.0,1,1,1,30.0,6.449310539590231e-15,1,2156,109,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.045366551637067584,4.2788871191353825e-15
circle,54,7.37181566688145e-16,1.9909279002684574e-15,1.2090408693217215e-07,3.673053287700986e-07,512,3,3.5,30.0,1,1,1,30.0,6.431311196476221e-15,1,3004,109,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.06321016749431865,4.2612586201071025e-15
circle,54,7.37181566688145e-16,1.913285334704048e-15,8.061805964790968e-08,3.673053287700986e-07,512,4,3.5,30.0,1,1,1,30.0,6.3791722781961215e-15,1,3844,109,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.08088544735291642,4.223099937171943e-15
circle,54,7.37181566688145e-16,1.9159399714927395e-15,8.061812738080649e-08,3.673053287700986e-07,512,5,3.5,30.0,1,1,1,30.0,6.365028610368364e-15,1,4676,109,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.09839239121286086,4.218910082839568e-15
circle,54,7.37181566688145e-16,1.940190037102654e-15,1.8716417300442385e-08,3.673053287700986e-07,512,6,3.5,30.0,1,1,1,30.0,6.352846276398375e-15,1,5500,109,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.115730999074152,4.2189829370245484e-15
