band_penalty,curve,cutoff,cutoff_converged,field_band_over_kd,field_field_error,field_gradient_error,field_halfband,field_matrix_error,field_nonzeros,field_q_equivalent,field_retained,field_trace_error,gradient_band_over_kd,gradient_field_error,gradient_gradient_error,gradient_halfband,gradient_matrix_error,gradient_nonzeros,gradient_q_equivalent,gradient_retained,gradient_step_consistency,gradient_trace_error,grid,halfwidth,kd,knee_0.001,knee_0.1,knee_1e-06,ko,max_mode,order,r2_K,r2_Kp,r2_T,r2_V,rate_K,rate_Kp,rate_T,rate_V,rate_envelope,shape_direction_modes,tolerance
3,crescent,81,1.8934705288100494e-14,1.2666666666666666,0.0076790459363103285,0.028040081109480076,38,0.011738957017086004,44276,7.460122405292166,0.41661334638112085,0.01032724801321255,1.3666666666666667,0.0015348625805559782,0.007373099155958547,41,0.005549584469639051,47228,8.049079437288917,0.4443900786631036,4.38455345093321e-07,0.003072334514848685,1024,0.09053850616843741,30.0,53,34,111,29.999999999999993,2,163,0.9847682504261258,0.984768250428671,0.986712111130114,0.982256321989561,0.1406957667064589,0.14069576672085438,0.12409003965803757,0.1559330480519245,0.12770208355845547,3,0.01
2,crescent,81,1.8934705288100494e-14,1.6,4.1822506173096026e-05,0.0002196921860321165,48,0.0012315324450828371,53836,9.423312511948,0.50656780458429,0.0002486757632945729,1.6666666666666667,1.3318374149025733e-05,8.4206942069471e-05,50,0.0008557127226417755,55652,9.815950533279166,0.52365538785803,4.38455345093321e-07,0.0001032302149000616,1024,0.09053850616843741,30.0,53,34,111,29.999999999999993,2,163,0.9847682504261258,0.984768250428671,0.986712111130114,0.982256321989561,0.1406957667064589,0.14069576672085438,0.12409003965803757,0.1559330480519245,0.12770208355845547,3,0.0001
4,crescent,81,1.8934705288100494e-14,1.8333333333333333,4.808498240452249e-07,3.777395915002303e-06,55,0.0004230646740613476,60052,10.797545586607082,0.5650570213406602,2.937821598097756e-05,1.9666666666666666,1.0813195455712071e-07,7.391598101843165e-07,59,0.00023703444990419943,63428,11.582821629269416,0.5968233655764237,4.38455345093321e-07,7.334958726590826e-06,1024,0.09053850616843741,30.0,53,34,111,29.999999999999993,2,163,0.9847682504261258,0.984768250428671,0.986712111130114,0.982256321989561,0.1406957667064589,0.14069576672085438,0.12409003965803757,0.1559330480519245,0.12770208355845547,3,1e-06
10,corrugated,54,1.6961114221876996e-14,0.0,0.005099281722980605,1.5136263426956755,0,0.015634253665029293,436,0.0,0.009174311926605505,0.027514306152326317,5.0,0.00024292545818698728,0.009098452610633127,10,0.004552836973908071,8716,2.1315835557367353,0.18340207053278343,6.590472348163347e-09,0.00639860591365427,512,0.10750035796738647,2.0,1,1,1,1.9999999999999996,9,109,0.9681963867523857,0.968196386775187,0.9670457112712705,0.9627332471400343,0.183985861021465,0.18398586106772447,0.15427464046426503,0.21145106892873067,0.15555174371089905,3,0.01
3,corrugated,54,1.6961114221876996e-14,8.0,2.947370266449357e-06,0.0002276223277220461,16,0.00028912692923366474,13300,3.4105336891787763,0.2798585977611312,0.0001991768446716101,9.5,2.9473702664502114e-06,9.808664572080328e-06,19,0.00028912692923366474,15484,4.050008755899797,0.32581432539348537,6.590472348163347e-09,0.00019917684467161013,512,0.10750035796738647,2.0,1,1,1,1.9999999999999996,9,109,0.9681963867523857,0.968196386775187,0.9670457112712705,0.9627332471400343,0.183985861021465,0.18398586106772447,0.15427464046426503,0.21145106892873067,0.15555174371089905,3,0.0001
4,corrugated,54,1.6961114221876996e-14,10.0,1.4589169768243645e-07,2.7603182228262894e-06,20,0.0001916844392832731,16196,4.263167111473471,0.3407962292736302,8.005748010089324e-05,12.0,1.3523357032282405e-08,5.549849908755391e-07,24,8.4196049602622e-05,18964,5.115800533768164,0.3990404848076761,6.590472348163347e-09,1.391832322261223e-05,512,0.10750035796738647,2.0,1,1,1,1.9999999999999996,9,109,0.9681963867523857,0.968196386775187,0.9670457112712705,0.9627332471400343,0.183985861021465,0.18398586106772447,0.15427464046426503,0.21145106892873067,0.15555174371089905,3,1e-06
3,corrugated,81,1.857557152577979e-15,1.6,0.0012734440540864325,0.02592315722591451,16,0.01957850065100073,20428,3.1411041706493332,0.19221649290526555,0.017481672280987973,1.9,0.001273444054086427,0.0065276770480598885,19,0.01957850065100073,23908,3.730061202646083,0.2249614212051639,6.044272752347357e-08,0.017481672280987973,1024,0.10750035796738647,10.0,1,1,1,9.999999999999998,9,163,0.9794854653852826,0.9794854657963322,0.9778484272379518,0.9732858026170904,0.16185141734202907,0.16185141746869233,0.14372864347701772,0.181699744864578,0.14404227375731846,3,0.01
4,corrugated,81,1.857557152577979e-15,2.4,3.462267598975941e-05,0.0007751225709848161,24,0.004200120796118472,29548,4.711656255974,0.27803078776017165,0.0022871078458940194,2.8,5.028966011804339e-06,6.0106802223519815e-05,28,0.0021303595350952694,33916,5.496932298636334,0.3191313184538372,6.044272752347357e-08,0.0010617093546922576,1024,0.10750035796738647,10.0,1,1,1,9.999999999999998,9,163,0.9794854653852826,0.9794854657963322,0.9778484272379518,0.9732858026170904,0.16185141734202907,0.16185141746869233,0.14372864347701772,0.181699744864578,0.14404227375731846,3,0.0001
4,corrugated,81,1.857557152577979e-15,3.2,6.323601484249587e-07,9.727290188407541e-06,32,0.0005938909267205317,38156,6.2822083412986665,0.3590274379916444,0.00017479393679485644,3.6,1.0752538158692799e-07,9.129920381919813e-07,36,0.000285694121743339,42268,7.067484383961,0.3977191463735933,6.044272752347357e-08,6.308087737380085e-05,1024,0.10750035796738647,10.0,1,1,1,9.999999999999998,9,163,0.9794854653852826,0.9794854657963322,0.9778484272379518,0.9732858026170904,0.16185141734202907,0.16185141746869233,0.14372864347701772,0.181699744864578,0.14404227375731846,3,1e-06
6,corrugated,121,5.199995671815277e-15,1.0666666666666667,0.008082181042003086,0.04644797361241559,32,0.026178271625147784,58956,5.82553105041176,0.249606259208454,0.019299912930315816,1.2666666666666666,0.0031731239284917088,0.008764248081981616,38,0.014567250347776603,68916,6.917818122363965,0.2917746278514454,4.007709621324075e-07,0.009065986324877812,1024,0.10750035796738647,30.0,1,1,1,29.999999999999993,9,243,0.9883040946698063,0.9883042144399325,0.9867385245590794,0.9872916536700806,0.15362877529682817,0.1536288464369117,0.1369449153223799,0.17126555445261768,0.13721793717783654,3,0.01
4,corrugated,121,5.199995671815277e-15,1.6,6.0195951147449216e-05,0.0003392997129890632,48,0.0018459918440176632,84876,8.738296575617639,0.35934562820708227,0.0007442423680329144,1.7333333333333334,1.441033144384134e-05,8.331515404301986e-05,52,0.0009090043229481698,91036,9.46648795691911,0.3854256634320649,4.007709621324075e-07,0.0002991593500113677,1024,0.10750035796738647,30.0,1,1,1,29.999999999999993,9,243,0.9883040946698063,0.9883042144399325,0.9867385245590794,0.9872916536700806,0.15362877529682817,0.1536288464369117,0.1369449153223799,0.17126555445261768,0.13721793717783654,3,0.0001
