curve,cutoff,halfband,halfwidth,kd,matrix_error,nonzeros,order,retained,rule,truncated_vs_full,truncated_vs_reference,untruncated_error
kite,16,16,0.16738230496393547,2.0,0.0027859452979170645,1580,33,0.3627180899908173,jwy_mu1.2,0.0003668905372349427,0.00036689053723516465,7.718143714638354e-15
kite,128,5,0.16738230496393547,10.0,0.11273038097273629,11188,257,0.042347348180896,fjs_q1,0.29843590229545486,0.2984359022954552,2.493406972492794e-15
kite,128,11,0.16738230496393547,10.0,0.019262982186821986,23116,257,0.08749564717103968,fjs_q2,0.015202120473836591,0.015202120473836636,2.493406972492794e-15
kite,128,22,0.16738230496393547,10.0,0.0004305428842229931,44236,257,0.16743629729443293,fjs_q4,1.0459381103514498e-06,1.045938110306813e-06,2.493406972492794e-15
kite,128,101,0.16738230496393547,10.0,0.008472800600154722,17204,257,0.06511832124634741,jwy_mu1.2,9.80981228181534e-05,9.809812281825506e-05,2.493406972492794e-15
kite,96,5,0.16738230496393547,10.0,0.12652238738968763,8372,193,0.056189427904104805,fjs_q1,0.2984359022954549,0.2984359022954551,2.4845876943773683e-15
kite,96,10,0.16738230496393547,10.0,0.023737587010562607,15772,193,0.10585519074337565,fjs_q2,0.024361941800659863,0.024361941800659887,2.4845876943773683e-15
kite,96,21,0.16738230496393547,10.0,0.0006964483352814957,31348,193,0.21039490993046794,fjs_q4,2.7856151608097974e-06,2.7856151608377944e-06,2.4845876943773683e-15
kite,96,80,0.16738230496393547,10.0,0.011035088965173509,12556,193,0.08427071867701147,jwy_mu1.2,0.00032044592191864726,0.00032044592191853244,2.4845876943773683e-15
kite,64,4,0.16738230496393547,10.0,0.23290323360780454,4564,129,0.06856559101015564,fjs_q1,0.5849415472980947,0.5849415472980948,3.135191897238268e-15
kite,64,9,0.16738230496393547,10.0,0.03990615908122424,9444,129,0.1418784928790337,fjs_q2,0.05137213910530357,0.05137213910530385,3.135191897238268e-15
kite,64,19,0.16738230496393547,10.0,0.0013964585879520804,18604,129,0.27949041523946877,fjs_q4,2.458817722704189e-05,2.458817722700156e-05,3.135191897238268e-15
kite,64,57,0.16738230496393547,10.0,0.0171488245654834,7988,129,0.12000480740340123,jwy_mu1.2,0.005873977720038075,0.005873977720038031,3.135191897238268e-15
kite,48,4,0.16738230496393547,10.0,0.25653486973301676,3412,97,0.09065788075247104,fjs_q1,0.5849415472980953,0.5849415472980953,3.399200077212666e-15
kite,48,9,0.16738230496393547,10.0,0.04395525643316342,7012,97,0.1863109788500372,fjs_q2,0.05137213910530345,0.05137213910530363,3.399200077212666e-15
kite,48,18,0.16738230496393547,10.0,0.0017146197299103853,12988,97,0.345095121691997,fjs_q4,2.1040203331679417e-05,2.1040203331685438e-05,3.399200077212666e-15
kite,48,45,0.16738230496393547,10.0,0.026759670714725372,5788,97,0.1537889254968647,jwy_mu1.2,0.010465300770188264,0.010465300770188266,3.399200077212666e-15
kite,32,4,0.16738230496393547,10.0,0.2893206537440921,2260,65,0.13372781065088757,fjs_q1,0.584941547298095,0.5849415472980947,3.209671853873481e-15
kite,32,8,0.16738230496393547,10.0,0.08650916554776063,4132,65,0.24449704142011836,fjs_q2,0.08752180391946499,0.08752180391946483,3.209671853873481e-15
kite,32,16,0.16738230496393547,10.0,0.00395167753907667,7492,65,0.4433136094674556,fjs_q4,0.00028262138974903783,0.0002826213897490318,3.209671853873481e-15
kite,32,32,0.16738230496393547,10.0,0.043353546950292136,3668,65,0.2170414201183432,jwy_mu1.2,0.039849474094710555,0.03984947409471054,3.209671853873481e-15
kite,24,3,0.16738230496393547,10.0,0.35002968685889707,1324,49,0.13785922532278216,fjs_q1,0.6221514393470053,0.6221514393470052,1.1111445890659391e-14
kite,24,7,0.16738230496393547,10.0,0.127261308957581,2716,49,0.282798833819242,fjs_q2,0.16957155218975076,0.16957155218975098,1.1111445890659391e-14
kite,24,15,0.16738230496393547,10.0,0.0048272190689602435,5116,49,0.5326947105372761,fjs_q4,0.0003842602380279252,0.0003842602380286083,1.1111445890659391e-14
kite,24,24,0.16738230496393547,10.0,0.06777074808863937,2604,49,0.27113702623906705,jwy_mu1.2,0.10107107529446965,0.10107107529447017,1.1111445890659391e-14
kite,16,3,0.16738230496393547,10.0,0.38165906256738447,876,33,0.20110192837465565,fjs_q1,0.6221514365668688,0.6221514398191167,1.5981424925818642e-07
kite,16,6,0.16738230496393547,10.0,0.17251752234428158,1548,33,0.35537190082644626,fjs_q2,0.2406545919429416,0.24065459858600224,1.5981424925818642e-07
kite,16,13,0.16738230496393547,10.0,0.012245495308676782,2836,33,0.6510560146923783,fjs_q4,0.0018719648463141878,0.0018719822223322688,1.5981424925818642e-07
kite,16,16,0.16738230496393547,10.0,0.10873387125633117,1580,33,0.3627180899908173,jwy_mu1.2,0.16601331186727736,0.1660133185541214,1.5981424925818642e-07
crescent,128,5,0.09053850616843741,2.0,0.0022998100767457445,11188,257,0.042347348180896,fjs_q1,0.0030485454879767716,0.0030485454879768032,2.5064590849304046e-15
crescent,128,11,0.09053850616843741,2.0,0.00033532698703457494,23116,257,0.08749564717103968,fjs_q2,7.459378835449938e-07,7.459378834845668e-07,2.5064590849304046e-15
crescent,128,22,0.09053850616843741,2.0,8.544121617018325e-05,44236,257,0.16743629729443293,fjs_q4,9.655698663302271e-13,9.655660884583031e-13,2.5064590849304046e-15
crescent,128,101,0.09053850616843741,2.0,0.0005040698678365132,17204,257,0.06511832124634741,jwy_mu1.2,1.6788467851093118e-10,1.6788465923597147e-10,2.5064590849304046e-15
crescent,96,5,0.09053850616843741,2.0,0.0026533916008796236,8372,193,0.056189427904104805,fjs_q1,0.0030485454879767746,0.0030485454879767854,2.55306256479451e-15
crescent,96,10,0.09053850616843741,2.0,0.00040639438879270005,15772,193,0.10585519074337565,fjs_q2,2.1889359248935984e-06,2.1889359251351417e-06,2.55306256479451e-15
crescent,96,21,0.09053850616843741,2.0,0.00010759638306794334,31348,193,0.21039490993046794,fjs_q4,2.8082943170454734e-12,2.8082891181935345e-12,2.55306256479451e-15
crescent,96,80,0.09053850616843741,2.0,0.0006660850934612987,12556,193,0.08427071867701147,jwy_mu1.2,3.2111959264104668e-09,3.211195914405041e-09,2.55306256479451e-15
crescent,64,4,0.09053850616843741,2.0,0.004302149953636921,4564,129,0.06856559101015564,fjs_q1,0.009583203955324268,0.009583203955324492,2.6104065308241356e-15
crescent,64,9,0.09053850616843741,2.0,0.0007310468489961393,9444,129,0.1418784928790337,fjs_q2,1.828030051284962e-05,1.8280300512732684e-05,2.6104065308241356e-15
crescent,64,19,0.09053850616843741,2.0,0.00016253215024345218,18604,129,0.27949041523946877,fjs_q4,1.8567768250582173e-11,1.856774169157574e-11,2.6104065308241356e-15
crescent,64,57,0.09053850616843741,2.0,0.0009905936120431543,7988,129,0.12000480740340123,jwy_mu1.2,9.087588430789193e-08,9.087588432360222e-08,2.6104065308241356e-15
crescent,48,4,0.09053850616843741,2.0,0.00495951726794259,3412,97,0.09065788075247104,fjs_q1,0.009583203955324223,0.009583203955324512,2.7377089665338066e-15
crescent,48,9,0.09053850616843741,2.0,0.0008427505973419134,7012,97,0.1863109788500372,fjs_q2,1.8280300512900596e-05,1.828030051277922e-05,2.7377089665338066e-15
crescent,48,18,0.09053850616843741,2.0,0.00022985765333842877,12988,97,0.345095121691997,fjs_q4,1.5892856090104348e-10,1.5892866598183553e-10,2.7377089665338066e-15
crescent,48,45,0.09053850616843741,2.0,0.0013123006749457876,5788,97,0.1537889254968647,jwy_mu1.2,5.966940166710959e-07,5.966940166655877e-07,2.7377089665338066e-15
crescent,32,4,0.09053850616843741,2.0,0.006054266835870296,2260,65,0.13372781065088757,fjs_q1,0.009583203955324417,0.009583203955324218,2.7779493040163072e-15
crescent,32,8,0.09053850616843741,2.0,0.0011479264874271302,4132,65,0.24449704142011836,fjs_q2,2.1293954221874325e-05,2.1293954221807833e-05,2.7779493040163072e-15
crescent,32,16,0.09053850616843741,2.0,0.0003549040024539656,7492,65,0.4433136094674556,fjs_q4,1.614464849692643e-09,1.6144648993137163e-09,2.7779493040163072e-15
crescent,32,32,0.09053850616843741,2.0,0.001966147867851308,3668,65,0.2170414201183432,jwy_mu1.2,1.481046716740165e-05,1.4810467167415243e-05,2.7779493040163072e-15
crescent,24,3,0.09053850616843741,2.0,0.018249066712213487,1324,49,0.13785922532278216,fjs_q1,0.07400950359223349,0.07400950359223371,2.7461499796249135e-15
crescent,24,7,0.09053850616843741,2.0,0.0016524400240914162,2716,49,0.282798833819242,fjs_q2,9.323659455619929e-05,9.323659455639389e-05,2.7461499796249135e-15
crescent,24,15,0.09053850616843741,2.0,0.00043803764920572055,5116,49,0.5326947105372761,fjs_q4,3.858539802877416e-09,3.85853978871607e-09,2.7461499796249135e-15
crescent,24,24,0.09053850616843741,2.0,0.002657486121957879,2604,49,0.27113702623906705,jwy_mu1.2,8.452100832376255e-05,8.452100832391916e-05,2.7461499796249135e-15
crescent,16,3,0.09053850616843741,2.0,0.022157157357898194,876,33,0.20110192837465565,fjs_q1,0.07400950359222709,0.07400950359223384,1.4393339795835121e-12
crescent,16,6,0.09053850616843741,2.0,0.0038125449091409493,1548,33,0.35537190082644626,fjs_q2,0.001263692971495486,0.001263692971480673,1.4393339795835121e-12
crescent,16,13,0.09053850616843741,2.0,0.0007185683352261374,2836,33,0.6510560146923783,fjs_q4,7.79245707694775e-08,7.792456048685902e-08,1.4393339795835121e-12
crescent,16,16,0.09053850616843741,2.0,0.00429392978776665,1580,33,0.3627180899908173,jwy_mu1.2,0.0011710171999763485,0.0011710171999466396,1.4393339795835121e-12
crescent,128,5,0.09053850616843741,10.0,0.1781320041003296,11188,257,0.042347348180896,fjs_q1,0.5457724646498582,0.5457724646498581,3.582871988624411e-15
crescent,128,11,0.09053850616843741,10.0,0.03854696432599131,23116,257,0.08749564717103968,fjs_q2,0.05434335369120197,0.05434335369120209,3.582871988624411e-15
crescent,128,22,0.09053850616843741,10.0,0.0025083248069616725,44236,257,0.16743629729443293,fjs_q4,6.125025357318031e-06,6.125025357151685e-06,3.582871988624411e-15
crescent,128,101,0.09053850616843741,10.0,0.012030663135630882,17204,257,0.06511832124634741,jwy_mu1.2,0.0003651710743214443,0.0003651710743215393,3.582871988624411e-15
crescent,96,5,0.09053850616843741,10.0,0.19952989947859273,8372,193,0.056189427904104805,fjs_q1,0.5457724646498581,0.5457724646498581,3.595665064795847e-15
crescent,96,10,0.09053850616843741,10.0,0.04808721410055747,15772,193,0.10585519074337565,fjs_q2,0.05990244862860096,0.05990244862860104,3.595665064795847e-15
crescent,96,21,0.09053850616843741,10.0,0.003264235141294128,31348,193,0.21039490993046794,fjs_q4,3.675379262723758e-05,3.675379262716527e-05,3.595665064795847e-15
crescent,96,80,0.09053850616843741,10.0,0.016638831714113917,12556,193,0.08427071867701147,jwy_mu1.2,0.0021501457865089908,0.0021501457865090957,3.595665064795847e-15
crescent,64,4,0.09053850616843741,10.0,0.28401363146621605,4564,129,0.06856559101015564,fjs_q1,0.8172995854676136,0.8172995854676132,4.40207059253532e-15
crescent,64,9,0.09053850616843741,10.0,0.06390451965775178,9444,129,0.1418784928790337,fjs_q2,0.10016866048697803,0.10016866048697787,4.40207059253532e-15
crescent,64,19,0.09053850616843741,10.0,0.005003327952761916,18604,129,0.27949041523946877,fjs_q4,0.00012950737728258642,0.00012950737728260455,4.40207059253532e-15
crescent,64,57,0.09053850616843741,10.0,0.02793868870568343,7988,129,0.12000480740340123,jwy_mu1.2,0.011958129410046517,0.011958129410046557,4.40207059253532e-15
crescent,48,4,0.09053850616843741,10.0,0.31199347243715925,3412,97,0.09065788075247104,fjs_q1,0.8172995854676133,0.8172995854676134,5.170747820518975e-15
crescent,48,9,0.09053850616843741,10.0,0.07020012734513931,7012,97,0.1863109788500372,fjs_q2,0.10016866048697791,0.10016866048697776,5.170747820518975e-15
crescent,48,18,0.09053850616843741,10.0,0.006988145168743235,12988,97,0.345095121691997,fjs_q4,0.0004330256026791195,0.0004330256026789943,5.170747820518975e-15
crescent,48,45,0.09053850616843741,10.0,0.046567313162885246,5788,97,0.1537889254968647,jwy_mu1.2,0.03917842771328151,0.039178427713281117,5.170747820518975e-15
crescent,32,4,0.09053850616843741,10.0,0.35045090163419745,2260,65,0.13372781065088757,fjs_q1,0.8172995854676132,0.8172995854676133,4.757884322804825e-15
crescent,32,8,0.09053850616843741,10.0,0.15258404826112268,4132,65,0.24449704142011836,fjs_q2,0.21793612921850838,0.2179361292185085,4.757884322804825e-15
crescent,32,16,0.09053850616843741,10.0,0.010824756273508623,7492,65,0.4433136094674556,fjs_q4,0.0017762521286487966,0.0017762521286491086,4.757884322804825e-15
crescent,32,32,0.09053850616843741,10.0,0.07132753478468534,3668,65,0.2170414201183432,jwy_mu1.2,0.08153162794907157,0.08153162794907146,4.757884322804825e-15
crescent,24,3,0.09053850616843741,10.0,0.4275724805051553,1324,49,0.13785922532278216,fjs_q1,0.8619325097919991,0.8619325097919975,8.871763196616907e-13
crescent,24,7,0.09053850616843741,10.0,0.19242219704230976,2716,49,0.282798833819242,fjs_q2,0.308747335091734,0.3087473350917001,8.871763196616907e-13
