arm,bandwidth,bem_seconds,bem_solve_count,canonical_per_frequency_relative_field_error,case,conditioning_audit_seconds,conversion_seconds,failure_reason,gradient_calls,gradient_points,maximum_relative_field_error,maximum_system_condition,maximum_system_residual,nodes,per_frequency_relative_field_error,raw_geometry_m,returned_geometry_m,self_convergence_to_next_nodes,status,value_calls,value_points
shared_zero_method_b,4,0.31896869000047445,2,,circle_distorted,0.08161652740091085,0.14665513020008802,,5,472,1.1705104843212206e-10,4389.076825091313,2.7935487883337376e-15,256,"[2.6396615671290052e-11, 1.1705104843212206e-10]",,1.8146343744069572e-12,,success,8,4889
offsurface_zero_method_b,4,0.023690462112426758,2,,circle_distorted,0.0018091164529323578,0.24417003523558378,,10,952,1.5433109761528165e-07,4389.076825703163,2.1112569035239388e-15,64,"[6.035718180377998e-09, 1.5433109761528165e-07]",,1.9834440076652168e-09,5.849117508183391e-14,success,13,5369
offsurface_zero_method_b,4,0.08223313838243484,2,,circle_distorted,0.011241006664931774,0.24417003523558378,,10,952,1.5433109385154628e-07,4389.076825703173,5.598518253652667e-15,128,"[6.035718089869585e-09, 1.5433109385154628e-07]",,1.9834440076652168e-09,5.400460545448478e-14,success,13,5369
offsurface_zero_method_b,4,0.3176789339631796,2,,circle_distorted,0.0770660750567913,0.24417003523558378,,10,952,1.543310942029038e-07,4389.076825703167,2.7641853514726527e-15,256,"[6.035718166624712e-09, 1.543310942029038e-07]",,1.9834440076652168e-09,,success,13,5369
distance_contacts,4,0.023482131771743298,2,,circle_distorted,0.0017915265634655952,0.241290882229805,distance contact is not on the queried field zero set,8,760,1.1705463015429867e-10,4389.076825091322,2.177399924116293e-15,64,"[2.6397337034130995e-11, 1.1705463015429867e-10]",0.00017865986969594076,1.8146343744069572e-12,5.33984340365971e-14,fallback,10,5081
distance_contacts,4,0.0817725108936429,2,,circle_distorted,0.01120290718972683,0.241290882229805,distance contact is not on the queried field zero set,8,760,1.1704662776589382e-10,4389.076825091303,5.089128253146261e-15,128,"[2.6396802215023047e-11, 1.1704662776589382e-10]",0.00017865986969594076,1.8146343744069572e-12,5.164906877117212e-14,fallback,10,5081
distance_contacts,4,0.3204443482682109,2,,circle_distorted,0.07748576067388058,0.241290882229805,distance contact is not on the queried field zero set,8,760,1.1705104843212206e-10,4389.076825091313,2.7935487883337376e-15,256,"[2.6396615671290052e-11, 1.1705104843212206e-10]",0.00017865986969594076,1.8146343744069572e-12,,fallback,10,5081
distance_tangent_jet,4,0.02363716997206211,2,,circle_distorted,0.0019155750051140785,0.241300692781806,distance contact is not on the queried field zero set,8,760,1.1705463015429867e-10,4389.076825091322,2.177399924116293e-15,64,"[2.6397337034130995e-11, 1.1705463015429867e-10]",0.00017865522778301747,1.8146343744069572e-12,5.33984340365971e-14,fallback,10,5081
distance_tangent_jet,4,0.0814256351441145,2,,circle_distorted,0.01128673367202282,0.241300692781806,distance contact is not on the queried field zero set,8,760,1.1704662776589382e-10,4389.076825091303,5.089128253146261e-15,128,"[2.6396802215023047e-11, 1.1704662776589382e-10]",0.00017865522778301747,1.8146343744069572e-12,5.164906877117212e-14,fallback,10,5081
distance_tangent_jet,4,0.3173791551962495,2,,circle_distorted,0.07910407520830631,0.241300692781806,distance contact is not on the queried field zero set,8,760,1.1705104843212206e-10,4389.076825091313,2.7935487883337376e-15,256,"[2.6396615671290052e-11, 1.1705104843212206e-10]",0.00017865522778301747,1.8146343744069572e-12,,fallback,10,5081
projected_tangent_jet,4,0.02344686444848776,2,,circle_distorted,0.0018025105819106102,0.24229839723557234,,11,1048,1.4933423517587208e-07,4389.076825759389,2.037361081372627e-15,64,"[7.193544574393295e-09, 1.4933423517587208e-07]",,1.871558405836146e-09,3.731787813907367e-14,success,14,5465
projected_tangent_jet,4,0.081014902330935,2,,circle_distorted,0.011149398051202297,0.24229839723557234,,11,1048,1.4933422631027394e-07,4389.076825759343,5.034471362951854e-15,128,"[7.193545744258098e-09, 1.4933422631027394e-07]",,1.871558405836146e-09,6.026967448906637e-14,success,14,5465
projected_tangent_jet,4,0.3230112623423338,2,,circle_distorted,0.07980875205248594,0.24229839723557234,,11,1048,1.4933423112859016e-07,4389.076825759359,2.6503031247513703e-15,256,"[7.193544378079349e-09, 1.4933423112859016e-07]",,1.871558405836146e-09,,success,14,5465
shared_zero_method_b,8,0.023430348373949528,2,,circle_distorted,0.0017972895875573158,0.14967033546417952,,5,472,6.670797975104022e-11,4389.076825091266,2.1183026048486358e-15,64,"[2.5898438136588408e-11, 6.670797975104022e-11]",,1.0295745747007658e-12,4.7532383635096693e-14,success,8,4889
shared_zero_method_b,8,0.0819969279691577,2,,circle_distorted,0.011166403070092201,0.14967033546417952,,5,472,6.670985450777343e-11,4389.076825091273,5.8971036013925356e-15,128,"[2.5897363778508225e-11, 6.670985450777343e-11]",,1.0295745747007658e-12,4.312740939959729e-14,success,8,4889
shared_zero_method_b,8,0.3178326580673456,2,,circle_distorted,0.07795052602887154,0.14967033546417952,,5,472,6.671344656233813e-11,4389.076825091293,2.60927890283598e-15,256,"[2.5897536761515256e-11, 6.671344656233813e-11]",,1.0295745747007658e-12,,success,8,4889
