coefficient_error,curve,factor_seconds,field_error,gmres_seconds,interpolation_error,kd,plain_iterations,preconditioned_iterations,projection_error,rank,reconstruct_seconds,samples,spacing,stride,tolerance
3.2488938207225414e-09,ellipse,0.0005581598961725831,4.60636604281091e-08,0.00038376497104763985,3.4089037229248876e-09,4.3125,10,2,1.032139116798755e-09,14,0.0010519330389797688,161,0.125,1,1e-09
1.6149356146983002e-08,ellipse,0.0005585789913311601,1.3347754941915206e-07,0.0003766349982470274,1.6155046373947754e-08,7.0625,13,2,4.287283160109429e-10,14,0.0010362700559198856,161,0.125,1,1e-09
2.1086034505137745e-08,ellipse,0.0005730069242417812,1.243521435120264e-07,0.0003886509221047163,2.109082965217054e-08,9.8125,15,2,4.497133335974915e-10,14,0.001081058057025075,161,0.125,1,1e-09
2.4981404360089988e-08,ellipse,0.0005565669853240252,1.1610864948766848e-07,0.0003675200277939439,2.4985071920636366e-08,12.5625,17,2,4.281000735285701e-10,14,0.0011379310162737966,161,0.125,1,1e-09
2.6701783708663706e-08,ellipse,0.0005571469664573669,1.0359818919696341e-07,0.0003634850727394223,2.670187674124915e-08,15.4375,19,2,7.066831083712937e-11,14,0.0010709139751270413,161,0.125,1,1e-09
2.6126733712518147e-08,ellipse,0.0005580080905929208,8.995474725339812e-08,0.000361626036465168,2.612969670099727e-08,18.1875,21,2,3.934677325377279e-10,14,0.0010499909985810518,161,0.125,1,1e-09
2.4653375117996907e-08,ellipse,0.0005914219655096531,7.749243653843733e-08,0.0003907099599018693,2.465338861551724e-08,20.9375,23,2,2.564040281004788e-11,14,0.0011804249370470643,161,0.125,1,1e-09
9.361437497076691e-08,ellipse,0.0005800699582323432,2.835194785030283e-07,0.00037212600000202656,9.361540895634245e-08,23.8125,25,2,4.398934275060978e-10,14,0.0009519750019535422,161,0.125,1,1e-09
0.03839136302192547,kite,0.000575458980165422,0.25774766949056366,0.0007345370249822736,0.03839322366423424,4.3125,11,6,0.000378258555887877,8,0.0002242580521851778,11,2.0,16,0.001
0.024918012858985945,kite,0.0005808749701827765,0.08061704163543103,0.0007002869388088584,0.024919401657114894,7.0625,14,6,0.00026316745667833585,8,0.0002005209680646658,11,2.0,16,0.001
0.004696706126672747,kite,0.0005497289821505547,0.011030924506158349,0.0006105080246925354,0.004697211423536382,9.8125,17,5,6.889718266525906e-05,8,0.00019450497347861528,11,2.0,16,0.001
0.014156757000980097,kite,0.000554510043002665,0.02330376308778423,0.0005521769635379314,0.014157299305236732,12.5625,20,5,0.0001239270399071731,8,0.00019509601406753063,11,2.0,16,0.001
0.013589821323698228,kite,0.00055555603466928,0.02185632455051143,0.0005774520104750991,0.013591091470316764,15.4375,23,5,0.00018582282312126663,8,0.00019795808475464582,11,2.0,16,0.001
0.006101422460311811,kite,0.0005612620152533054,0.010110580378620936,0.0005424059927463531,0.006105715888927348,18.1875,25,5,0.00022893760782466616,8,0.00019575096666812897,11,2.0,16,0.001
0.03833496454830518,kite,0.000559142092242837,0.050871285981132365,0.0006436050171032548,0.03833599795490735,20.9375,28,6,0.00028168934586805133,8,0.00019552605226635933,11,2.0,16,0.001
0.038655329720347686,kite,0.0005695149302482605,0.05229617502840018,0.0006446880288422108,0.03865636338511464,23.8125,29,6,0.0002829027443043731,8,0.00019626005087047815,11,2.0,16,0.001
